corpus,row_kind,frontier,run_id,run_path,artifact_family,phase,date_utc,scenario,regime,shape,source_status,summary_path,metadata_path,tflite_path,compiled_tflite_path,exec_path,param_path,patchspec_path,usbmon_log_path,usbmon_summary_path,dut_log_path,admission_outcome,hash_eq_target,failure_mode,firmware_path,anchor_ref,target_ref,notes
conv_phase4_7,run,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065145Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065145Z,conv_completion_demo,phase4_7,2026-03-16T06:51:45Z,,,,present,,,,,,,,,,,,,,,,,completion demo run root
conv_phase4_7,run,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065157Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065157Z,conv_completion_demo,phase4_7,2026-03-16T06:51:57Z,,,,present,,,,,,,,,,,,,,,,,completion demo run root
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065157Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065157Z/p32/h32,phase4_conv2d_k3_sameprod_6512_v1,phase4_7,2026-03-16T06:51:57Z,historical_case,p32,h32,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h32_w32/conv2d_32x32x32_to_32_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h32_w32/conv2d_32x32x32_to_32_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h32_w32/conv2d_32x32x32_to_32_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065157Z/p32/h32/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065157Z/p32/h32/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/anchor/conv2d_16x64x32_to_32_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h32_w32/conv2d_32x32x32_to_32_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,run,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065217Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z,conv_completion_demo,phase4,2026-03-16T06:52:17Z,,,,present,,,,,,,,,,,,,,,,,completion demo run root
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065217Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p128/h128,phase4_conv2d_k3_sameprod_6512_v1,phase4,2026-03-16T06:52:17Z,historical_case,p128,h128,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h128_w8/conv2d_128x8x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h128_w8/conv2d_128x8x128_to_128_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h128_w8/conv2d_128x8x128_to_128_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p128/h128/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p128/h128/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/anchor/conv2d_16x64x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h128_w8/conv2d_128x8x128_to_128_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065217Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p128/h32,phase4_conv2d_k3_sameprod_6512_v1,phase4,2026-03-16T06:52:17Z,historical_case,p128,h32,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h32_w32/conv2d_32x32x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h32_w32/conv2d_32x32x128_to_128_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h32_w32/conv2d_32x32x128_to_128_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p128/h32/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p128/h32/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/anchor/conv2d_16x64x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h32_w32/conv2d_32x32x128_to_128_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065217Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p128/h64,phase4_conv2d_k3_sameprod_6512_v1,phase4,2026-03-16T06:52:17Z,historical_case,p128,h64,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h64_w16/conv2d_64x16x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h64_w16/conv2d_64x16x128_to_128_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h64_w16/conv2d_64x16x128_to_128_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p128/h64/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p128/h64/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/anchor/conv2d_16x64x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h64_w16/conv2d_64x16x128_to_128_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065217Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p32/h128,phase4_conv2d_k3_sameprod_6512_v1,phase4,2026-03-16T06:52:17Z,historical_case,p32,h128,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h128_w8/conv2d_128x8x32_to_32_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h128_w8/conv2d_128x8x32_to_32_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h128_w8/conv2d_128x8x32_to_32_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p32/h128/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p32/h128/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/anchor/conv2d_16x64x32_to_32_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h128_w8/conv2d_128x8x32_to_32_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065217Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p32/h32,phase4_conv2d_k3_sameprod_6512_v1,phase4,2026-03-16T06:52:17Z,historical_case,p32,h32,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h32_w32/conv2d_32x32x32_to_32_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h32_w32/conv2d_32x32x32_to_32_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h32_w32/conv2d_32x32x32_to_32_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p32/h32/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p32/h32/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/anchor/conv2d_16x64x32_to_32_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h32_w32/conv2d_32x32x32_to_32_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065217Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p32/h64,phase4_conv2d_k3_sameprod_6512_v1,phase4,2026-03-16T06:52:17Z,historical_case,p32,h64,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h64_w16/conv2d_64x16x32_to_32_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h64_w16/conv2d_64x16x32_to_32_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h64_w16/conv2d_64x16x32_to_32_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p32/h64/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p32/h64/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/anchor/conv2d_16x64x32_to_32_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h64_w16/conv2d_64x16x32_to_32_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065217Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p64/h128,phase4_conv2d_k3_sameprod_6512_v1,phase4,2026-03-16T06:52:17Z,historical_case,p64,h128,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h128_w8/conv2d_128x8x64_to_64_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h128_w8/conv2d_128x8x64_to_64_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h128_w8/conv2d_128x8x64_to_64_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p64/h128/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p64/h128/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/anchor/conv2d_16x64x64_to_64_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h128_w8/conv2d_128x8x64_to_64_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065217Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p64/h32,phase4_conv2d_k3_sameprod_6512_v1,phase4,2026-03-16T06:52:17Z,historical_case,p64,h32,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h32_w32/conv2d_32x32x64_to_64_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h32_w32/conv2d_32x32x64_to_64_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h32_w32/conv2d_32x32x64_to_64_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p64/h32/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p64/h32/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/anchor/conv2d_16x64x64_to_64_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h32_w32/conv2d_32x32x64_to_64_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T065217Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p64/h64,phase4_conv2d_k3_sameprod_6512_v1,phase4,2026-03-16T06:52:17Z,historical_case,p64,h64,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h64_w16/conv2d_64x16x64_to_64_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h64_w16/conv2d_64x16x64_to_64_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h64_w16/conv2d_64x16x64_to_64_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p64/h64/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T065217Z/p64/h64/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/anchor/conv2d_16x64x64_to_64_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p64/targets/h64_w16/conv2d_64x16x64_to_64_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,run,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T070256Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z,conv_completion_demo,phase4_7,2026-03-16T07:02:56Z,,,,present,,,,,,,,,,,,,,,,,completion demo run root
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T070256Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p128/h128,phase4_conv2d_k3_sameprod_6512_v1,phase4_7,2026-03-16T07:02:56Z,historical_case,p128,h128,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h128_w8/conv2d_128x8x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h128_w8/conv2d_128x8x128_to_128_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h128_w8/conv2d_128x8x128_to_128_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p128/h128/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p128/h128/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/anchor/conv2d_16x64x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h128_w8/conv2d_128x8x128_to_128_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T070256Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p128/h32,phase4_conv2d_k3_sameprod_6512_v1,phase4_7,2026-03-16T07:02:56Z,historical_case,p128,h32,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h32_w32/conv2d_32x32x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h32_w32/conv2d_32x32x128_to_128_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h32_w32/conv2d_32x32x128_to_128_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p128/h32/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p128/h32/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/anchor/conv2d_16x64x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h32_w32/conv2d_32x32x128_to_128_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T070256Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p128/h64,phase4_conv2d_k3_sameprod_6512_v1,phase4_7,2026-03-16T07:02:56Z,historical_case,p128,h64,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h64_w16/conv2d_64x16x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h64_w16/conv2d_64x16x128_to_128_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h64_w16/conv2d_64x16x128_to_128_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p128/h64/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p128/h64/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/anchor/conv2d_16x64x128_to_128_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p128/targets/h64_w16/conv2d_64x16x128_to_128_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
conv_phase4_7,case,00_trace_contract,phase4-conv2d-k3-completion-demo-20260316T070256Z,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p32/h128,phase4_conv2d_k3_sameprod_6512_v1,phase4_7,2026-03-16T07:02:56Z,historical_case,p32,h128,present,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h128_w8/conv2d_128x8x32_to_32_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h128_w8/conv2d_128x8x32_to_32_k3_s1_same_quant.tflite,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h128_w8/conv2d_128x8x32_to_32_k3_s1_same_quant_edgetpu.tflite,,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p32/h128/target_param_stream.bin,/home/rpc/coral-re-autoresearch/arsenal/coral-rusb-replay-src/traces/analysis/phase4-conv2d-k3-completion-demo-20260316T070256Z/p32/h128/eo.patchspec,,,,unknown,unknown,summary_missing,,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/anchor/conv2d_16x64x32_to_32_k3_s1_same_quant.metadata.json,/home/bhav/Documents/experiments/rngcnr-gh/coral-usb-oxidized/templates/phase4_conv2d_k3_sameprod_6512/p32/targets/h128_w8/conv2d_128x8x32_to_32_k3_s1_same_quant.metadata.json,completion-demo case with per-case EO artifacts only
